SN,Region,District,School_Name,Location,Gender,Residency,Email,Category,Is_STEM,latitude,longitude,youth_literacy_count,mpi_score
21,ASHANTI,ADANSI SOUTH,AKROFUOM SENIOR HIGH/TECH SCHOOL,AKROFUOM,MIXED,DAY/BOARDING,akrofuomshst@ges.gov.gh,C,No,10.9324723,-0.9735882,8440.0,0.2
22,ASHANTI,ADANSI SOUTH,NEW EDUBIASE SENIOR HIGH SCHOOL,NEW EDUBIASE,MIXED,DAY/BOARDING,newedubiaseshs@ges.gov.gh,C,No,10.6593164,-1.268658,15413.0,0.2
23,ASHANTI,AFIGYA-KWABERE,OTUMFUO OSEI TUTU II COLLEGE,TETREM,MIXED,DAY/BOARDING,otumfuooseitutu11shs@ges.gov.gh,C,No,7.0401661,-1.6461917,25603.746153846154,0.08846153846153844
24,ASHANTI,AFIGYA-KWABERE,ADUMAN SENIOR HIGH SCHOOL,ADUMAN,MIXED,DAY/BOARDING,adumanshs@ges.gov.gh,C,No,5.8771706,0.3662603,21014.0,0.1
25,ASHANTI,AFIGYA-KWABRE,AFIGYAMAN SENIOR HIGH SCHOOL,KYEKYEWERE,MIXED,DAY,afigyamanshs@ges.gov.gh,C,No,7.142572,-1.6406402,15320.0,0.2
26,ASHANTI,AFIGYA-KWABRE,"ST. MICHAEL'S SENIOR HIGH SCHOOL, AHENKRO",AHENKRO,MIXED,DAY/BOARDING,st.michaelahenkroshs@ges.gov.gh,C,No,6.8822105,-1.6356955,13776.0,0.1
27,ASHANTI,AHAFO ANO NORTH,TEPA SENIOR HIGH SCHOOL,TEPA,MIXED,DAY/BOARDING,tepashs@ges.gov.gh,C,No,5.5950893,-0.277005,25603.746153846158,0.0884615384615384
28,ASHANTI,AHAFO ANO NORTH,MAABANG SENIOR HIGH/TECH SCHOOL,MAABANG,MIXED,DAY/BOARDING,maabangshst@ges.gov.gh,C,No,10.9324723,-0.9735882,25603.746153846158,0.0884615384615384
29,ASHANTI,AHAFO ANO SOUTH,SABRONUM METHODIST SENIOR HIGH/TECH SCHOOL,SABRONUM/HABI TAT,MIXED,DAY,sabronummethodistshst@ges.gov.gh,C,No,7.0912501,-1.8862955,25603.746153846158,0.0884615384615384
30,ASHANTI,AHAFO ANO SOUTH,ADUGYAMA COMM. SENIOR HIGH SCHOOL,ADUGYAMA,MIXED,DAY,adugyamacommshs@ges.gov.gh,C,No,7.142572,-1.6406402,25603.746153846158,0.0884615384615384
31,ASHANTI,AHAFO ANO SOUTH,MANKRANSO SENIOR HIGH SCHOOL,MANKRANSO,MIXED,DAY/BOARDING,mankransoshs@ges.gov.gh,C,No,5.5950893,-0.277005,25603.746153846158,0.0884615384615384
32,ASHANTI,AMANSIE CENTRAL,TWEAPEASE SENIOR HIGH SCHOOL,TWEAPEASE,MIXED,DAY,tweapeaseshs@ges.gov.gh,C,No,5.6486498,-0.0035371,15081.0,0.1
33,ASHANTI,AMANSIE CENTRAL,JACOBU SENIOR HIGH/TECH. SCHOOL,JACOBU,MIXED,DAY/BOARDING,jacobushst@ges.gov.gh,C,No,10.0272463,-0.9731496,15081.0,0.1
34,ASHANTI,AMANSIE WEST,ESAASE BONTEFUFUO SNR. HIGH/TECH. SCHOOL,ESAASE BONTEFUFUO,MIXED,DAY/BOARDING,esaasebontefufuoshst@ges.gov.gh,C,No,,,19590.0,0.1
35,ASHANTI,AMANSIE WEST,MANSOMAN SENIOR HIGH SCHOOL,MANSO ATWERE,MIXED,DAY/BOARDING,mansomanshs@ges.gov.gh,C,No,5.9668857,-0.9929572,19590.0,0.1
36,ASHANTI,AMANSIE WEST,MANSO-ADUBIA SENIOR HIGH SCHOOL,ADUBIA,MIXED,DAY/BOARDING,manso-adubiashs@ges.gov.gh,C,No,5.9668857,-0.9929572,19887.0,0.1
37,ASHANTI,ASANTE AKIM CENTRAL MUNICIPAL,"WESLEY SENIOR HIGH SCHOOL, KONONGO",KONONGO,MIXED,DAY/BOARDING,wesleykonongoshs@ges.gov.gh,C,No,6.3325025,-0.4784514,25603.746153846158,0.0884615384615384
38,ASHANTI,ASANTE AKIM CENTRAL MUNICIPAL,"ST. MARY'S GIRL'S SENIOR HIGH, KONONGO",KONONGO,FEMALE,DAY/BOARDING,st.marygirlkonongoshs@ges.gov.gh,C,No,,,25603.746153846158,0.0884615384615384
39,ASHANTI,ASANTE AKIM CENTRAL MUNICIPAL,KONONGO ODUMASE SENIOR HIGH SCHOOL,ODUMASE,MIXED,DAY/BOARDING,konongoodumaseshs@ges.gov.gh,C,No,6.8901817,-1.2489599,25603.746153846158,0.0884615384615384
40,ASHANTI,ASANTE AKIM NORTH,AGOGO STATE COLLEGE,AGOGO,MIXED,DAY/BOARDING,agogostatecollegeshs@ges.gov.gh,C,No,5.1277948,-1.2548315,25603.746153846158,0.0884615384615384
41,ASHANTI,ASANTE AKIM NORTH,"COLLINS SENIOR HIGH/COMMERCIAL SCHOOL, AGOGO",AGOGO,MIXED,DAY/BOARDING,collincomshs@ges.gov.gh,C,No,,,25603.746153846158,0.0884615384615384
42,ASHANTI,ASANTE AKIM NORTH,OWERRIMAN SENIOR HIGH SCHOOL,DOMEABRA,MIXED,DAY/BOARDING,owerrimanshs@ges.gov.gh,C,No,10.6593164,-1.268658,25603.746153846158,0.0884615384615384
43,ASHANTI,ASANTE AKIM SOUTH,KUROFA METHODIST SENIOR HIGH SCHOOL,KUROFA,MIXED,DAY,kurofamethodistshs@ges.gov.gh,C,No,4.9046484,-1.7908342,24192.0,0.1
44,ASHANTI,ASANTE AKIM SOUTH,BOMPATA PRESBY SENIOR HIGH SCHOOL,BOMPATA,MIXED,DAY/BOARDING,presbybompatashs@ges.gov.gh,C,No,6.3096027,-0.7248455,23591.0,0.0
45,ASHANTI,ASANTE AKIM SOUTH,JUASO SENIOR HIGH/TECH SCHOOL,JUASO,MIXED,DAY/BOARDING,juasoshs@ges.gov.gh,C,No,5.4234565,-0.9611574,25603.746153846158,0.0884615384615384
46,ASHANTI,ASANTE AKIM SOUTH,JUBILEE SENIOR HIGH SCHOOL,DAMPONG,MIXED,DAY/BOARDING,jubileeshs@ges.gov.gh,C,No,7.3366184,-2.304839,25603.746153846158,0.0884615384615384
47,ASHANTI,ASANTE AKIM SOUTH,OFOASE SENIOR HIGH/TECH SCHOOL,OFOASE,MIXED,DAY/BOARDING,ofoaseshs@ges.gov.gh,C,No,6.8901817,-1.2489599,25603.746153846158,0.0884615384615384
48,ASHANTI,ASANTE AKIM SOUTH,BANKA COMM. SENIOR HIGH SCHOOL,BANKA,MIXED,DAY,bankacommsshs@ges.gov.gh,C,No,7.993766,-0.326021,25603.746153846158,0.0884615384615384
49,ASHANTI,ASOKORE MAMPONG MUNICIPAL,PARKOSO COMM. SENIOR HIGH SCHOOL,PARKOSO,MIXED,DAY,parkosocommshs@ges.gov.gh,C,No,5.5950893,-0.277005,25603.746153846158,0.0884615384615384
50,ASHANTI,ASOKORE MAMPONG MUNICIPAL,KUMASI ACADEMY,ASOKORE MAMPONG,MIXED,DAY/BOARDING,kumasiacademyshs@ges.gov.gh,A,No,5.7753866,0.000236,25603.746153846158,0.0884615384615384
51,ASHANTI,ASOKORE MAMPONG MUNICIPAL,SAKAFIA ISLAMIC SENIOR HIGH SCHOOL,SAWABA,MIXED,DAY/BOARDING,sakafiaislamicshs@ges.gov.gh,C,No,9.3743188,-0.8407925,25603.746153846158,0.0884615384615384
52,ASHANTI,ATWIMA KWANWOMA,AFUA KOBI AMPEM GIRLS' SENIOR HIGH SCHOOL,TRABUOM,FEMALE,DAY/BOARDING,afuakobiampemgirlsshs@ges.gov.gh,C,No,7.190168,0.337969,25603.746153846158,0.0884615384615384
53,ASHANTI,ATWIMA KWANWOMA,ATWIMA KWANWOMA SENIOR HIGH/TECH SCHOOL,TREDE,MIXED,DAY/BOARDING,atwimakwanwomashst@ges.gov.gh,C,No,10.9324723,-0.9735882,10774.823529411764,0.2058823529411765
54,ASHANTI,ATWIMA KWANWOMA,KWANWOMA SENIOR HIGH SCHOOL,ADUM KWANWOMA,MIXED,DAY,kwanwomashst@ges.gov.gh,C,No,10.6593164,-1.268658,10774.823529411764,0.2058823529411765
55,ASHANTI,ATWIMA MPONUA,MPASATIA SENIOR HIGH/TECH SCHOOL,MPASATIA,MIXED,DAY/BOARDING,mpasatiashst@ges.gov.gh,C,No,6.6556435,-1.1071968,25603.746153846158,0.0884615384615384
56,ASHANTI,ATWIMA MPONUA,NYINAHIN CATH. SENIOR HIGH SCHOOL,NYINAHIN,MIXED,DAY/BOARDING,nyinahincathshs@ges.gov.gh,C,No,9.3815355,-0.8511432,25603.746153846158,0.0884615384615384
57,ASHANTI,ATWIMA MPONUA,ADOBEWORA COMM. SENIOR HIGH SCHOOL,ADOBEWORA,MIXED,DAY,adobeworacommshs@ges.gov.gh,C,No,5.8771706,0.3662603,25603.746153846158,0.0884615384615384
58,ASHANTI,ATWIMA NWABIAGYA,BAREKESE SENIOR HIGH SCHOOL,BAREKESE,MIXED,DAY/BOARDING,barekeseshs@ges.gov.gh,C,No,6.8901817,-1.2489599,25603.746153846158,0.0884615384615384
59,ASHANTI,ATWIMA NWABIAGYA,"OSEI TUTU SENIOR HIGH SCHOOL, AKROPONG",AKROPONG,MALE,DAY/BOARDING,oseitutuakropongshs@ges.gov.gh,C,No,6.11494,-0.277781,25603.746153846158,0.0884615384615384
60,ASHANTI,ATWIMA NWABIAGYA,NKAWIE SENIOR HIGH/TECH SCHOOL,NKAWIE,MIXED,DAY/BOARDING,nkawieshst@ges.gov.gh,C,No,5.5950893,-0.277005,25603.746153846158,0.0884615384615384
61,ASHANTI,ATWIMA NWABIAGYA,TOASE SENIOR HIGH SCHOOL,TOASE,MIXED,DAY/BOARDING,toaseshs@ges.gov.gh,C,No,5.9668857,-0.9929572,25603.746153846158,0.0884615384615384
62,ASHANTI,BEKWAI MUNICIPAL,OPPONG MEM. SENIOR HIGH SCHOOL,KOKOFU,MIXED,DAY/BOARDING,oppongmemshs@ges.gov.gh,C,No,6.7325756,-1.6275725,28893.0,0.1
63,ASHANTI,BEKWAI MUNICIPAL,OFOASE KOKOBEN SENIOR HIGH SCHOOL,OFOASE KOKOBIN,MIXED,DAY/BOARDING,ofoasekokobenshs@ges.gov.gh,C,No,6.8901817,-1.2489599,25603.746153846158,0.0884615384615384
64,ASHANTI,BEKWAI MUNICIPAL,"S.D.A. SENIOR HIGH SCHOOL, BEKWAI",BEKWAI,MIXED,DAY/BOARDING,sdabekwaishs@ges.gov.gh,C,No,7.3449525,-2.3439664,25603.746153846158,0.0884615384615384
65,ASHANTI,BEKWAI MUNICIPAL,"WESLEY HIGH SCHOOL, BEKWAI",BEKWAI,MIXED,DAY/BOARDING,wesleyhighbekwaishs@ges.gov.gh,C,No,6.461872,-1.5685451,25603.746153846158,0.0884615384615384
66,ASHANTI,BEKWAI MUNICIPAL,"ST. JOSEPH SENIOR HIGH/TECH SCHOOL, AHWIREN",AHWIREN,MIXED,DAY/BOARDING,st.josephahwirenshst@ges.gov.gh,C,No,9.389042,-0.8285041,25603.746153846158,0.0884615384615384
67,ASHANTI,BEKWAI MUNICIPAL,DENYASEMAN CATH.SENIOR HIGH SCHOOL,POANO,MIXED,DAY/BOARDING,denyasemancathshs@ges.gov.gh,C,No,7.142572,-1.6406402,25603.746153846158,0.0884615384615384
68,ASHANTI,BOSOME FREHO,BOSOME SENIOR HIGH/TECH. SCHOOL,ASIWA,MIXED,DAY/BOARDING,bosomeshst@ges.gov.gh,C,No,6.6556435,-1.1071968,9893.0,0.1
69,ASHANTI,BOSOMTWE,ST. MICHAEL TECH/VOC INST,PRAMSO,MIXED,DAY,st.michaeltechvocinst@ges.gov.gh,C,No,,,21990.0,0.1
70,ASHANTI,BOSOMTWE,JACHIE PRAMSO SENIOR HIGH SCHOOL,JACHIE PRAMSO,MIXED,DAY/BOARDING,jachiepramsoshs@ges.gov.gh,C,No,6.5651376,-1.5179771,25603.746153846158,0.0884615384615384
71,ASHANTI,BOSOMTWE,ST. GEORGE'S SENIOR HIGH TECH SCHOOL,KUNTANASE,MIXED,DAY/BOARDING,st.georgesshst@ges.gov.gh,C,No,6.9331173,-0.2549323,25603.746153846158,0.0884615384615384
72,ASHANTI,BOSOMTWE,BEPOSO SENIOR HIGH SCHOOL,BEPOSO,MIXED,DAY/BOARDING,bepososhs@ges.gov.gh,C,No,5.9668857,-0.9929572,21990.0,0.1
73,ASHANTI,BOSOMTWE,OSEI ADUTWUM SENIOR HIGH SCHOOL,JACHIE,MIXED,DAY/BOARDING,oseiadutwumshs@ges.gov.gh,C,No,9.4273607,-0.8767444,25603.746153846158,0.0884615384615384
74,ASHANTI,BOSOMTWE,BOSOMTWE OYOKO COMM. SENIOR HIGH SCHOOL,BOSOMTWE OYOKO,MIXED,DAY,bosomtweoyokocommshs@ges.gov.gh,C,No,6.8901817,-1.2489599,25603.746153846158,0.0884615384615384
75,ASHANTI,EJISU JUABEN,CHURCH OF CHRIST SENIOR HIGH SCHOOL,[NEAR] WOE,MIXED,DAY,churchofchristshs@ges.gov.gh,C,No,5.5380869,-0.6979096,25603.746153846158,0.0884615384615384
76,ASHANTI,EJISU JUABEN,ST. SEBASTIAN CATH. SENIOR HIGH SCHOOL,ADUMASA,MIXED,DAY,st.sebastiancathshs@ges.gov.gh,C,No,7.5614705,-1.7116618,25603.746153846158,0.0884615384615384
77,ASHANTI,EJISU JUABEN MUNICIPAL,JUABEN SENIOR HIGH SCHOOL,JUABEN,MIXED,DAY/BOARDING,juabenshs@ges.gov.gh,C,No,5.9926294,0.8187733,25603.746153846158,0.0884615384615384
78,ASHANTI,EJISU JUABEN MUNICIPAL,BONWIRE SENIOR HIGH/TECH SCHOOL,BONWIRE,MIXED,DAY/BOARDING,bonwireshst@ges.gov.gh,C,No,6.6556435,-1.1071968,25603.746153846158,0.0884615384615384
79,ASHANTI,EJISU JUABEN MUNICIPAL,EJISUMAN SENIOR HIGH SCHOOL,EJISU,MIXED,DAY/BOARDING,ejisumanshs@ges.gov.gh,C,No,5.4234565,-0.9611574,25603.746153846158,0.0884615384615384
80,ASHANTI,EJISU JUABEN MUNICIPAL,EJISU SENIOR HIGH/TECH SCHOOL,EJISU,MIXED,DAY/BOARDING,ejisushst@ges.gov.gh,C,No,6.6556435,-1.1071968,25603.746153846158,0.0884615384615384
81,ASHANTI,EJISU JUABEN MUNICIPAL,ACHINAKROM SENIOR HIGH SCHOOL,ACHINAKROM,MIXED,DAY/BOARDING,achinakromshs@ges.gov.gh,C,No,5.5950893,-0.277005,25603.746153846158,0.0884615384615384
82,ASHANTI,EJISU ONWE,ONWE SENIOR HIGH SCHOOL,EJISU ONWE,MIXED,DAY,onweshs@ges.gov.gh,C,No,5.9668857,-0.9929572,25603.746153846158,0.0884615384615384
83,ASHANTI,EJURA/SEKYEDUMASE,EJURAMAN ANGLICAN SENIOR HIGH SCHOOL,EJURA,MIXED,DAY/BOARDING,ejuramananglicanshs@ges.gov.gh,C,No,7.3878262,-1.3492738,25603.746153846158,0.0884615384615384
84,ASHANTI,EJURA/SEKYEDUMASE,SEKYEDUMASE SENIOR HIGH/TECH SCHOOL,SEKYEDUMASE,MIXED,DAY/BOARDING,sekyedumashst@ges.gov.gh,C,No,6.8901817,-1.2489599,25603.746153846158,0.0884615384615384
85,ASHANTI,EJURA/SEKYEDUMASE,AKWESI AWOBAA SENIOR HIGH SCHOOL,ANYINASU,MIXED,DAY,akwesiawobaashs@ges.gov.gh,C,No,10.6593164,-1.268658,25603.746153846158,0.0884615384615384
86,ASHANTI,KUMASI METRO,"PENTECOST SENIOR HIGH SCHOOL, KUMASI","BREMAN WEST, KUMASI",MIXED,DAY,pentecostkumasishs@ges.gov.gh,C,No,4.9046484,-1.7908342,25603.746153846158,0.0884615384615384
87,ASHANTI,KUMASI METRO,OSEI KYERETWIE SENIOR HIGH SCHOOL,OLD TAFO - KUMASI,MIXED,DAY/BOARDING,oseikyeretwieshs@ges.gov.gh,C,No,7.2316721,-2.1751937,25603.746153846158,0.0884615384615384
88,ASHANTI,KUMASI METRO,"AL-AZARIYA ISLAMIC SENIOR HIGH SCHOOL, KUMASI","OLD TAFO, KUMASI",MIXED,DAY,al-azariyaislamicshs@ges.gov.gh,C,No,9.3743188,-0.8407925,25603.746153846158,0.0884615384615384
89,ASHANTI,KUMASI METRO,KUMASI GIRLS SENIOR HIGH SCHOOL,ABREPO,FEMALE,DAY/BOARDING,kumasigirlsshs@ges.gov.gh,C,No,6.319177,-2.250302,25603.746153846158,0.0884615384615384
90,ASHANTI,KUMASI METRO,"UTHMANIYA SENIOR HIGH SCHOOL, TAFO",TAFO,MIXED,DAY,uthmaniyashs@ges.gov.gh,C,No,5.8771706,0.3662603,25603.746153846158,0.0884615384615384
91,ASHANTI,KUMASI METRO,KUMASI WESLEY GIRLS HIGH SCHOOL,OLD TAFO - KUMASI,FEMALE,DAY/BOARDING,kumasiwesleygirlsshs@ges.gov.gh,A,No,6.6903393,-1.5480316,25603.746153846158,0.0884615384615384
92,ASHANTI,KUMASI METRO,ASANTEMAN SENIOR HIGH SCHOOL,BANTAMA,MIXED,DAY/BOARDING,asantemanshs@ges.gov.gh,C,No,7.142572,-1.6406402,25603.746153846158,0.0884615384615384
93,ASHANTI,KUMASI METRO,"ADVENTIST SENIOR HIGH SCHOOL, KUMASI",BANTAMA- KUMASI,MIXED,DAY/BOARDING,adventistkumasishs@ges.gov.gh,C,No,5.9926294,0.8187733,25603.746153846158,0.0884615384615384
94,ASHANTI,KUMASI METRO,SERWAAH NYARKO GIRLS' SENIOR HIGH SCHOOL,DICHEMSO,FEMALE,DAY/BOARDING,serwaahnyarkogirlsshs@ges.gov.gh,C,No,6.319177,-2.250302,25603.746153846158,0.0884615384615384
95,ASHANTI,KUMASI METRO,PREMPEH COLLEGE,SOFOLINE- KUMASI,MALE,DAY/BOARDING,prempehshs@ges.gov.gh,A,No,5.5868893,-0.2074099,25603.746153846158,0.0884615384615384
96,ASHANTI,KUMASI METRO,"NURU-AMEEN ISLAMIC SENIOR HIGH SCHOOL, ASEWASE",ASEWASE,MIXED,DAY,nuru-ameenislamicshs@ges.gov.gh,C,No,7.3878262,-1.3492738,25603.746153846158,0.0884615384615384
97,ASHANTI,KUMASI METRO,TAWHEED SENIOR HIGH SCHOOL,KUMASI- AKWATIA LINE,MIXED,DAY/BOARDING,tawheedshs@ges.gov.gh,C,No,5.8771706,0.3662603,25603.746153846158,0.0884615384615384
98,ASHANTI,KUMASI METRO,YAA ASANTEWAA GIRLS SENIOR HIGH SCHOOL,TANOSO-KUMASI,FEMALE,DAY/BOARDING,yaaasantewaagirlsshs@ges.gov.gh,C,No,7.190168,0.337969,25603.746153846158,0.0884615384615384
99,ASHANTI,KUMASI METRO,PRINCE OF PEACE GIRLS,KWADASO ESTATES,MIXED,DAY,princeofpeacegirlsshs@ges.gov.gh,C,No,5.823622,-2.8259634,25603.746153846158,0.0884615384615384
100,ASHANTI,KUMASI METRO,"ST. LOUIS SENIOR HIGH SCHOOL, KUMASI",ODUOM-KUMASI,FEMALE,DAY/BOARDING,st.louiskumasishs@ges.gov.gh,A,No,5.6457771,-0.0078533,25603.746153846158,0.0884615384615384
101,ASHANTI,KUMASI METRO,"ARMED FORCES SENIOR HIGH/TECH SCHOOL, KUMASI",BANTAMA- KUMASI,MIXED,DAY/BOARDING,armedforceskumasishst@ges.gov.gh,C,No,6.6556435,-1.1071968,25603.746153846158,0.0884615384615384
102,ASHANTI,KUMASI METRO,KUMASI TECH. INST.,KUMASI,MIXED,DAY/BOARDING,kumasitechinst@ges.gov.gh,C,No,6.6931817,-1.6041611,25603.746153846158,0.0884615384615384
103,ASHANTI,KUMASI METRO,"ANGLICAN SENIOR HIGH SCHOOL, KUMASI",ASEM-KUMASI,MIXED,DAY/BOARDING,anglicankumasishs@ges.gov.gh,C,No,6.4542149,-1.5701117,25603.746153846158,0.0884615384615384
104,ASHANTI,KUMASI METRO,KNUST SENIOR HIGH SCHOOL,KNUST,MIXED,DAY/BOARDING,knustshs@ges.gov.gh,C,Yes,6.6903393,-1.5480316,25603.746153846158,0.0884615384615384
105,ASHANTI,KUMASI METRO,"T. I. AHMADIYYA SENIOR HIGH SCHOOL, KUMASI",KUMASI - STADIUM,MIXED,DAY/BOARDING,t.i.ahmadiyyakumasishs@ges.gov.gh,C,No,9.4064815,-0.8770518,25603.746153846158,0.0884615384615384
106,ASHANTI,KUMASI METRO,KUMASI SENIOR HIGH/TECH SCHOOL,PATASI-KUMASI,MIXED,DAY/BOARDING,kumasishst@ges.gov.gh,C,No,6.6903393,-1.5480316,25603.746153846158,0.0884615384615384
107,ASHANTI,KUMASI METRO,"AGRIC NZEMA SENIOR HIGH SCHOOL, KUMASI","KUMASI, AGRIC NZEMA",MIXED,DAY,agricnzemashs@ges.gov.gh,C,No,10.6593164,-1.268658,25603.746153846158,0.0884615384615384
108,ASHANTI,KUMASI METRO,OPOKU WARE SENIOR HIGH SCHOOL,SANTASI-KUMASI,MALE,DAY/BOARDING,opokuwareshs@ges.gov.gh,A,No,5.9668857,-0.9929572,25603.746153846158,0.0884615384615384
109,ASHANTI,KUMASI METRO,"ST. HUBERT SEM/SENIOR HIGH SCHOOL, KUMASI",SANTASI-KUMASI,MALE,DAY/BOARDING,st.hubertsemshs@ges.gov.gh,C,No,7.5614705,-1.7116618,25603.746153846158,0.0884615384615384
110,ASHANTI,KUMASI METRO,KUMASI SENIOR HIGH SCHOOL,GYINYASE- KUMASI,MALE,DAY/BOARDING,kumasishs@ges.gov.gh,C,No,6.6903393,-1.5480316,25603.746153846158,0.0884615384615384
111,ASHANTI,KUMASI METRO.,"ISLAMIC SENIOR HIGH SCHOOL, AMPABAME",AMPABAME,MIXED,DAY/BOARDING,islamicampabameshs@ges.gov.gh,C,No,9.3815355,-0.8511432,23127.0,0.1
112,ASHANTI,KUMASI METRO.,METHODIST TECHNINCAL INSTITUTE,KWADASO,MIXED,DAY/BOARDING,methodisttechinst@ges.gov.gh,C,No,7.3313759,-2.3408456,33725.0,0.0
113,ASHANTI,KWABRE EAST,"ADVENTIST GIRLS SENIOR HIGH SCHOOL, NTONSO",NTONSO,FEMALE,DAY/BOARDING,adventistgirlsshs@ges.gov.gh,C,No,6.319177,-2.250302,59281.0,0.0
114,ASHANTI,KWABRE EAST,ADANWOMASE SENIOR HIGH SCHOOL,ADANWOMASE,MIXED,DAY/BOARDING,adanwomaseshs@ges.gov.gh,C,No,6.8901817,-1.2489599,59281.0,0.0
115,ASHANTI,KWABRE EAST,GYAAMA PENSAN SENIOR HIGH/TECH SCHOOL,ABOASO- ASHANTI,MIXED,DAY/BOARDING,gyaamapensanshst@ges.gov.gh,C,No,7.142572,-1.6406402,59281.0,0.0
116,ASHANTI,KWABRE EAST,KOFI ADJEI SENIOR HIGH/TECH SCHOOL,BAMPENASE,MIXED,DAY/BOARDING,kofiadjeishst@ges.gov.gh,C,No,6.9331173,-0.2549323,59281.0,0.0
