sn,region,district,school_name,location,gender,residency,email,category,is_stem,latitude,longitude,youth_literacy_count,mpi_score,pov_norm,lit_norm,priority_score,priority_tier
590,UPPER WEST,WA WEST,LASSIE-TUOLU SENIOR HIGH SCHOOL,LASSIE,MIXED,DAY/BOARDING,lassietuolushs@ges.gov.gh,C,No,10.05,-2.65,12740.0,0.3,0.7499999999999999,0.8454621421305043,0.7881848568522016,HIGH
556,UPPER EAST,TALENSI,TONGO SENIOR HIGH/TECH SCHOOL,TONGO,MIXED,DAY,tongoshst@ges.gov.gh,C,No,10.9324723,-0.9735882,15277.0,0.3,0.7499999999999999,0.7993750908298213,0.7697500363319285,HIGH
557,UPPER EAST,TALENSI,BOLGATANGA SENIOR HIGH SCHOOL,BOLGATANGA,MIXED,DAY/BOARDING,bolgatangashs@ges.gov.gh,C,No,10.7833,-0.85,15277.0,0.3,0.7499999999999999,0.7993750908298213,0.7697500363319285,HIGH
661,VOLTA,SOUTH DAYI,TONGOR SENIOR HIGH TECH SCHOOL,KPEVE,MIXED,DAY/BOARDING,tongorshst@ges.gov.gh,C,No,6.5667,0.25,15277.0,0.3,0.7499999999999999,0.7993750908298213,0.7697500363319285,HIGH
533,UPPER EAST,BONGO,AZEEM-NAMOA SENIOR HIGH/TECH SCHOOL,SAMBOLIGO AMANGA NABIISI,MIXED,DAY,azeemnamoashst@ges.gov.gh,C,No,10.787,-0.863,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
535,UPPER EAST,BONGO,ZORKOR SENIOR HIGH SCHOOL,ZORKOR,MIXED,DAY/BOARDING,zorkorshs@ges.gov.gh,C,No,10.9014082,-0.9013563,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
536,UPPER EAST,BONGO,GOWRIE SENIOR HIGH/TECH SCHOOL,GOWRIE,MIXED,DAY/BOARDING,gowrieshst@ges.gov.gh,C,No,10.78,-0.87,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
534,UPPER EAST,BONGO,BONGO SENIOR HIGH SCHOOL,BONGO,MIXED,DAY/BOARDING,bongoshs@ges.gov.gh,C,No,10.9525,-0.5054,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
446,NORTH EAST,EAST MAMPRUSI,NALERIGU SENIOR HIGH SCHOOL,NALERIGU,MIXED,DAY/BOARDING,nalerigushs@ges.gov.gh,C,No,10.5167,-0.3667,22263.0,0.3,0.7499999999999999,0.672467664583636,0.7189870658334543,HIGH
151,BONO,BANDA,BANDAMAN SENIOR HIGH SCHOOL,BANDA AHENKRO,MIXED,DAY/BOARDING,bandamanshs@ges.gov.gh,C,No,7.7,-2.35,4233.0,0.2,0.5,1.0,0.7,HIGH
558,UPPER WEST,BUSSIE-ISSA,DAFFIAMAH SENIOR HIGH SCHOOL,DAFFIAMAH,MIXED,DAY/BOARDING,daffiamahshs@ges.gov.gh,C,No,10.07,-2.52,5165.0,0.2,0.5,0.9830693213195756,0.6932277285278303,HIGH
631,VOLTA,HOHOE,E. P. TECHNICAL VOCATIONAL INSTITUTE ALAVANYO,FORSON DOTSE,MIXED,DAY/BOARDING,eptechvocinst@ges.gov.gh,C,No,7.1139239,0.3524093,5210.0,0.2,0.5,0.9822518529283536,0.6929007411713415,HIGH
470,NORTHERN,SAVELUGU-NANTON,SAVELUGU SENIOR HIGH SCHOOL,SAVELUGU,MIXED,DAY/BOARDING,savelugushs@ges.gov.gh,C,No,9.6333,-0.8333,5210.0,0.2,0.5,0.9822518529283536,0.6929007411713415,HIGH
602,VOLTA,AKATSI NORTH,AVE SENIOR HIGH SCHOOL,AVE-DAKPA,MIXED,DAY/BOARDING,aveshs@ges.gov.gh,C,No,5.9926294,0.8187733,5210.0,0.2,0.5,0.9822518529283536,0.6929007411713415,HIGH
234,CENTRAL,AJUMAKO/ENYAN /ESSIAM,ENYAN-ABAASA TECHNICAL INSTITUTE,ENYAN-ABAASA,MIXED,DAY/BOARDING,enyanabaasatechinst@ges.gov.gh,C,No,5.35,-0.65,5210.0,0.2,0.5,0.9822518529283536,0.6929007411713415,HIGH
448,NORTH EAST,MAMPRUGU MOADURI,YAGABA SENIOR HIGH SCHOOL,YAGABA,MIXED,DAY/BOARDING,yagabashs@ges.gov.gh,C,No,10.2833,-0.5167,5861.0,0.2,0.5,0.9704258102020056,0.6881703240808023,HIGH
455,NORTHERN,KARAGA,KARAGA SENIOR HIGH SCHOOL,KARAGA,MIXED,DAY/BOARDING,karagashs@ges.gov.gh,C,No,10.6593164,-1.268658,7419.0,0.2,0.5,0.9421232379014678,0.6768492951605871,HIGH
484,NORTHERN,ZABZUGU,ZABZUGU SENIOR HIGH SCHOOL,ZABZUGU,MIXED,DAY/BOARDING,zabzugushs@ges.gov.gh,C,No,10.6593164,-1.268658,7712.0,0.2,0.5,0.9368006103763988,0.6747202441505595,HIGH
458,NORTHERN,MION,SANG COMM. DAY SCHOOL,SANG,MIXED,DAY,sangcommdayshs@ges.gov.gh,C,No,9.4230346,-0.254394,7727.0,0.2,0.5,0.936528120912658,0.6746112483650633,HIGH
517,SAVANNAH,SAWLA-TUNA-KALBA,TUNA SENIOR HIGH/TECH SCHOOL,TUNA,MIXED,DAY/BOARDING,tunashst@ges.gov.gh,C,No,10.0272463,-0.9731496,12968.666666666666,0.225,0.5625,0.8413081916388122,0.6740232766555249,HIGH
563,UPPER WEST,LAMBUSIE-KARNI,PIINA SENIOR HIGH SCHOOL,PIINA,MIXED,DAY/BOARDING,piinashs@ges.gov.gh,C,No,10.55,-2.78,7873.0,0.2,0.5,0.9338758901322484,0.6735503560528993,HIGH
575,UPPER WEST,NANDOM,HOLY FAMILY SENIOR HIGH SCHOOL,HAMILE,MIXED,DAY/BOARDING,holyfamilyshs@ges.gov.gh,C,No,10.7818,-2.76,7873.0,0.2,0.5,0.9338758901322484,0.6735503560528993,HIGH
564,UPPER WEST,LAMBUSIE-KARNI,LAMBUSSIE COMM SENIOR HIGH SCHOOL,LAMBUSSIE,MIXED,DAY,lambussiecommshs@ges.gov.gh,C,No,10.7106,-2.7023,7873.0,0.2,0.5,0.9338758901322484,0.6735503560528993,HIGH
479,NORTHERN,TATALE SANGULI,E. P. AGRIC SENIOR HIGH/TECH SCHOOL,TATALE,MIXED,DAY,epagricshst@ges.gov.gh,C,No,10.0272463,-0.9731496,8140.0,0.2,0.5,0.9290255776776633,0.6716102310710652,HIGH
21,ASHANTI,ADANSI SOUTH,AKROFUOM SENIOR HIGH/TECH SCHOOL,AKROFUOM,MIXED,DAY/BOARDING,akrofuomshst@ges.gov.gh,C,No,6.26,-1.71,8440.0,0.2,0.5,0.9235757884028484,0.6694303153611394,HIGH
351,EASTERN,KWAHU AFRAM PLAINS NORTH,AMANKWAKROM FISHERIES AGRIC. TECH. INST.,AMANKWAKROM,MIXED,DAY,amankwakromfisheriesagrictechinst@ges.gov.g,C,No,7.05,-0.2333,9021.0,0.2,0.5,0.9130213631739572,0.6652085452695828,HIGH
292,EASTERN,AFRAM PLAINS (KWAHU NORTH),DONKORKROM AGRIC SENIOR HIGH SCHOOL,DONKORKROM,MIXED,DAY/BOARDING,donkorkromagricshs@ges.gov.gh,C,No,7.0833,-0.2833,9021.0,0.2,0.5,0.9130213631739572,0.6652085452695828,HIGH
293,EASTERN,AFRAM PLAINS (KWAHU NORTH),MEM-CHEMFRE COMM. SENIOR HIGH SCHOOL,MEM-CHEMFRE,MIXED,DAY,memchemfrecommshs@ges.gov.gh,C,No,6.1,-0.35,9021.0,0.2,0.5,0.9130213631739572,0.6652085452695828,HIGH
444,NORTH EAST,CHEREPONI,CHEREPONI SENIOR HIGH/TECH SCHOOL,CHEREPONI,MIXED,DAY/BOARDING,chereponishst@ges.gov.gh,C,No,10.4167,-0.1,9078.0,0.2,0.5,0.9119859032117424,0.6647943612846969,HIGH
202,BONO EAST,SENE EAST,BASSA COMMUNITY SENIOR HIGH SCHOOL,BODINKA,MIXED,DAY,bassacommunityshs@ges.gov.gh,C,No,7.993766,-0.326021,9113.0,0.2,0.5,0.911350094463014,0.6645400377852057,HIGH
203,BONO EAST,SENE EAST,KAJAJI SENIOR HIGH SCHOOL,KAJAJI,MIXED,DAY/BOARDING,kajajishs@ges.gov.gh,C,No,7.8,-0.35,9113.0,0.2,0.5,0.911350094463014,0.6645400377852057,HIGH
442,NORTH EAST,BUNKRUPGU-YUNGUO,NAKPANDURI SENIOR HIGH SCHOOL,NAKPANDURI,MIXED,DAY/BOARDING,nakpandurishs@ges.gov.gh,C,No,10.6,0.0167,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
447,NORTH EAST,EAST MAMPRUSI,SAKOGU SENIOR HIGH/TECH SCHOOL,SAKOGU,MIXED,DAY,sakogushst@ges.gov.gh,C,No,10.1667,-0.25,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
449,NORTH EAST,WEST MAMPRUSI,WULUGU SENIOR HIGH SCHOOL,WULUGU,MIXED,DAY/BOARDING,wulugushs@ges.gov.gh,C,No,10.2167,-0.5833,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
452,NORTH EAST,WEST MAMPUSI,WALEWALETECH/ VOC INST.,WALEWALE,MIXED,DAY,walewaletechvocinst@ges.gov.gh,C,No,10.35,-0.55,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
445,NORTH EAST,EAST MAMPRUSI,GAMBAGA GIRLS SENIOR HIGH SCHOOL,GAMBAGA,FEMALE,DAY/BOARDING,gambagagirlsshs@ges.gov.gh,C,No,10.5167,-0.4333,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
453,NORTH EAST,EAST MAMPRUSI MUNICIPAL,LANGBINSI SENIOR HIGH TECHNICAL SCHOOL,LANGBINSI,MIXED,DAY,langbinsishst@ges.gov.gh,C,No,10.25,-0.4833,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
451,NORTH EAST,WEST MAMPRUSI MUNICIPAL,JANGA SENIOR HIGH/TECH SCHOOL,MUNICIPAL ASSEMBLY,MALE,DAY/BOARDING,jangashts@ges.gov.gh,C,No,10.0272463,-0.9731496,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
578,UPPER WEST,SISALA EAST,TUMU SENIOR HIGH/TECH SCHOOL,TUMU,MIXED,DAY/BOARDING,tumushst@ges.gov.gh,C,No,10.12,-1.95,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
577,UPPER WEST,NANDOM,KO SENIOR HIGH SCHOOL,KO-NANDOM,MIXED,DAY/BOARDING,koshs@ges.gov.gh,C,No,9.7833,-2.15,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
574,UPPER WEST,NANDOM,NANDOM SENIOR HIGH SCHOOL,NANDOM,MALE,DAY/BOARDING,nandomshs@ges.gov.gh,C,No,10.75,-2.75,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
584,UPPER WEST,WA MUNICIPAL,NORTHERN STAR SENIOR HIGH SCHOOL,"MANGU, WA",MIXED,DAY,northernstarshs@ges.gov.gh,C,No,10.07,-2.5,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
489,OTI,BIAKOYE,BIAKOYE COMM. DAY SCHOOL,KWAMEKROM,MIXED,DAY,biakoyecommdayshs@ges.gov.gh,C,No,7.6,0.5,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
493,OTI,JASIKAN,FR. DOGLI MEMORIAL VOC.TECH. INST.,NEW AYOMA,MIXED,DAY/BOARDING,frdoglimemorialtechvocinst@ges.gov.gh,C,No,7.7,0.47,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
372,EASTERN,NEW JUABEN MUNICIPAL,OYOKO METHODIST SENIOR HIGH SCHOOL,OYOKO,MIXED,DAY/BOARDING,oyokomethodistshs@ges.gov.gh,C,No,6.6,-0.75,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
138,ASHANTI,SEKYERE EAST,"T. I. AHMADIYYA GIRL'S SENIOR HIGH SCHOOL, ASOKORE",ASOKORE,FEMALE,DAY/BOARDING,t.i.ahmadiyyagirlsshs@ges.gov.gh,C,No,6.6833,-1.5333,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
583,UPPER WEST,WA MUNICIPAL,"T. I. AHMADIYYA SENIOR HIGH SCHOOL, WA",WA,MIXED,DAY/BOARDING,tiahmadiyyawashs@ges.gov.gh,C,No,10.0601,-2.5099,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
585,UPPER WEST,WA MUNICIPAL,JAMIAT AL-HIDAYA ISLAMIC GIRLS SENIOR HIGH SCHOOL,WA,FEMALE,DAY/BOARDING,jamiatalhidayaislamicgirlsshs@ges.gov.gh,C,No,10.0601,-2.5099,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
587,UPPER WEST,WA MUNICIPAL,WA SENIOR HIGH SCHOOL,WA,MIXED,DAY/BOARDING,washs@ges.gov.gh,C,No,10.0601,-2.5099,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
586,UPPER WEST,WA MUNICIPAL,WA SENIOR HIGH/TECH SCHOOL,WA,MIXED,DAY/BOARDING,washst@ges.gov.gh,C,No,10.0601,-2.5099,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
588,UPPER WEST,WA MUNICIPAL,WA TECH. INST.,WA,MIXED,DAY/BOARDING,watechinst@ges.gov.gh,C,No,10.0601,-2.5099,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
569,UPPER WEST,NADOWLI,"ST. AUGUSTINE SENIOR HIGH/TECH SCHOOL, SAAN CHARIKPONG","SAAN, CHARIKPONG",MIXED,DAY/BOARDING,st.augustinecharikpongshst@ges.gov.gh,C,No,10.5,-2.8,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
571,UPPER WEST,NADOWLI,KALEO SENIOR HIGH/TECH SCHOOL,KALEO,MIXED,DAY/BOARDING,kaleoshst@ges.gov.gh,C,No,10.25,-2.45,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
568,UPPER WEST,NADOWLI,"QUEEN OF PEACE SENIOR HIGH SCHOOL, NADOWLI",NADOWLI,MIXED,DAY/BOARDING,queenofpeaceshs@ges.gov.gh,C,No,10.35,-2.65,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
589,UPPER WEST,WA MUNICIPAL,"ISLAMIC SENIOR HIGH SCHOOL, WA",WA,MIXED,DAY/BOARDING,islamicwashs@ges.gov.gh,C,No,10.0601,-2.5099,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
333,EASTERN,DENKYEMBOUR,AKWATIA TECH. INST.,AKWATIA,MIXED,DAY/BOARDING,akwatiatechinst@ges.gov.gh,C,No,5.9833,-0.8,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
53,ASHANTI,ATWIMA KWANWOMA,ATWIMA KWANWOMA SENIOR HIGH/TECH SCHOOL,TREDE,MIXED,DAY/BOARDING,atwimakwanwomashst@ges.gov.gh,C,No,6.6,-1.68,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
54,ASHANTI,ATWIMA KWANWOMA,KWANWOMA SENIOR HIGH SCHOOL,ADUM KWANWOMA,MIXED,DAY,kwanwomashst@ges.gov.gh,C,No,6.62,-1.66,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
576,UPPER WEST,NANDOM,ST.JOHN'S VOC. TECH. INSTITUTE,NANDOM,MIXED,DAY/BOARDING,stjohnstechvocinst@ges.gov.gh,C,No,10.75,-2.75,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
570,UPPER WEST,NADOWLI,TAKPO SENIOR HIGH SCHOOL,TAKPO,MIXED,DAY,takposhst@ges.gov.gh,C,No,10.7,-2.3,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
573,UPPER WEST,NADOWLI/KALEO,SOMBO SENIOR HIGH SCHOOL,SOMBO,FEMALE,DAY,somboshs@ges.gov.gh,C,No,10.05,-2.55,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
572,UPPER WEST,NADOWLI KALEO,ST. BASILIDES VOC./TECH. INST.,KALEO,MIXED,DAY/BOARDING,stbasilidestechvocinst@ges.gov.gh,C,No,10.25,-2.45,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
580,UPPER WEST,SISALA WEST,DR. HILA LIMAN SENIOR HIGH SCHOOL,GWOLLU,MIXED,DAY/BOARDING,drhilalimanshs@ges.gov.gh,C,No,9.82,-2.15,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
450,NORTH EAST,WEST MAMPRUSI,WALEWALE SENIOR HIGH SCHOOL,WWAESLETW MEALMEPRUSI,MIXED,DAY/BOARDING,walewaleshs@ges.gov.gh,C,No,10.3431,-0.808,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
671,WESTERN,AHANTA WEST,SANKOR COMM. DAY SENIOR HIGH SCHOOL,SANKOR,MIXED,DAY,sankorcommshs@ges.gov.gh,C,No,5.35,-2.35,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
278,CENTRAL,KOMENDA/EDINA/EGUAFO/A BIREM MUNICIPAL,KOMENDA SENIOR HIGH/TECH SCHOOL,KOMENDA,MIXED,DAY/BOARDING,komendashst@ges.gov.gh,C,No,5.9668857,-0.9929572,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
214,BONO EAST,TECHIMAN NORTH,AMEYAW AKUMFI SENIOR HIGH/TECH SCHOOL,AWOROWA,MIXED,DAY/BOARDING,ameyawakumfishst@ges.gov.gh,C,No,7.59,-1.94,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
686,WESTERN,PRESTEA HUNI VALLEY,PRESTEA SENIOR HIGH/TECH SCHOOL,PRESTEA,MIXED,DAY/BOARDING,presteashst@ges.gov.gh,C,No,5.4333,-2.1333,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
666,VOLTA,SOUTH TONGU,SOGAKOPE SENIOR HIGH SCHOOL,SOGAKOPE,MIXED,DAY/BOARDING,sogakopeshs@ges.gov.gh,C,No,6.05,0.6,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
711,WESTERN NORTH,BIBIANI/ANHWIASO/ BEKWAI,SEFWI BEKWAI SENIOR HIGH SCHOOL,SEFWI BEKWAI,MIXED,DAY/BOARDING,sefwibekwaishs@ges.gov.gh,C,No,6.2,-2.3333,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
676,WESTERN,ELLEMBELLE,KIKAM TECH. INST.,KIKAM,MIXED,DAY/BOARDING,kikamtechinst@ges.gov.gh,C,No,4.9259008,-2.3155321,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
235,CENTRAL,ASIKUMA/ODOBEN/ BRAKWA,BRAKWA SENIOR HIGH/TECH SCHOOL,BRAKWA,MIXED,DAY/BOARDING,brakwashst@ges.gov.gh,C,No,5.45,-0.85,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
379,EASTERN,NSAWAM ADOAGYIRI,"ST. MARTIN'S SENIOR HIGH SCHOOL, NSAWAM",NSAWAM,MIXED,DAY/BOARDING,stmartinsshs@ges.gov.gh,C,No,5.8,-0.35,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
715,WESTERN NORTH,SEFWI AKONTOMBRA,AKONTOMBRA SENIOR HIGH SCHOOL,AKONTOMBRA,MIXED,DAY/BOARDING,akontombrashs@ges.gov.gh,C,No,6.05,-2.85,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
287,CENTRAL,TWIFU ATTI-MOKWAA,MOKWAA SENIOR HIGH SCHOOL,NAMOO,MIXED,DAY,mokwaashs@ges.gov.gh,C,No,5.23,-1.36,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
296,EASTERN,AKUAPEM NORTH,J.G. KNOL VOC. TECH. INST.,ADUKROM AKW.,MIXED,DAY/BOARDING,jgknoltechvocinst@ges.gov.gh,C,No,6.0270069,-0.0810198,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
399,GREATER ACCRA,ACCRA METRO,SACRED HEART TECH. INST.,JAMES TOWN,MIXED,DAY,sacredhearttechinst@ges.gov.gh,C,No,5.62,-0.17,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
566,UPPER WEST,LAWRA,LAWRA SENIOR HIGH SCHOOL,LAWRA,MIXED,DAY/BOARDING,lawrashs@ges.gov.gh,C,No,10.65,-2.85,9769.0,0.2,0.5,0.8994332219154193,0.6597732887661678,HIGH
565,UPPER WEST,LAWRA,EREMON SENIOR HIGH/TECH SCHOOL,EREMON,MIXED,DAY/BOARDING,eremonshst@ges.gov.gh,C,No,10.03,-2.6,9769.0,0.2,0.5,0.8994332219154193,0.6597732887661678,HIGH
567,UPPER WEST,LAWRA,BIRIFOH SENIOR HIGH SCHOOL,LAWRA,MIXED,DAY,birifohshs@ges.gov.gh,C,No,10.65,-2.85,9769.0,0.2,0.5,0.8994332219154193,0.6597732887661678,HIGH
295,EASTERN,AFRAM PLAINS (KWAHU SOUTH),ST. FIDELIS SENIOR HIGH/TECH SCHOOL,TEASE,MIXED,DAY/BOARDING,stfidelisshst@ges.gov.gh,C,No,6.9331173,-0.2549323,10182.0,0.2,0.5,0.8919306786804244,0.6567722714721698,HIGH
294,EASTERN,AFRAM PLAINS (KWAHU SOUTH),MAAME KROBO COMM. SENIOR HIGH SCHOOL,MAAME KROBO,MIXED,DAY,maamekrobocommshs@ges.gov.gh,C,No,6.05,-0.4,10182.0,0.2,0.5,0.8919306786804244,0.6567722714721698,HIGH
542,UPPER EAST,GARU TEMPANE,GARU COMM. DAY SENIOR HIGH SCHOOL,GARU,MIXED,DAY,garucommshs@ges.gov.gh,C,No,10.85,-0.22,10283.0,0.2,0.5,0.8900959162912367,0.6560383665164947,HIGH
581,UPPER WEST,WA EAST,LOGGU COMM. DAY SCHOOL,LOGGU,MIXED,DAY,loggucommshs@ges.gov.gh,C,No,9.8977649,-2.3492356,10323.0,0.2,0.5,0.8893692777212614,0.6557477110885046,HIGH
582,UPPER WEST,WA EAST,FUNSI SENIOR HIGH SCHOOL,FUNSI,MIXED,DAY/BOARDING,funsishs@ges.gov.gh,C,No,10.45,-1.8,10323.0,0.2,0.5,0.8893692777212614,0.6557477110885046,HIGH
539,UPPER EAST,BUILSA NORTH,WIAGA COMM. SENIOR HIGH SCHOOL,WIAGA,MIXED,DAY,wiagacommshs@ges.gov.gh,C,No,10.68,-0.88,10722.0,0.2,0.5,0.8821210579857579,0.6528484231943033,HIGH
538,UPPER EAST,BUILSA NORTH,SANDEMA SENIOR HIGH/TECH SCHOOL,DAMPONG,MIXED,DAY,sandemashst@ges.gov.gh,C,No,10.855,-1.138,10722.0,0.2,0.5,0.8821210579857579,0.6528484231943033,HIGH
537,UPPER EAST,BUILSA NORTH,SANDEMA SENIOR HIGH SCHOOL,SANDEMA,MIXED,DAY/BOARDING,sandemashs@ges.gov.gh,C,No,10.7333,-1.2833,10722.0,0.2,0.5,0.8821210579857579,0.6528484231943033,HIGH
460,NORTHERN,NANUMBA SOUTH,WULENSI SENIOR HIGH SCHOOL,WULENSI,MIXED,DAY/BOARDING,wulensishs@ges.gov.gh,C,No,10.6593164,-1.268658,10868.0,0.2,0.5,0.879468827205348,0.6517875308821393,HIGH
520,SAVANNAH,WEST GONJA,DAMONGO SENIOR HIGH SCHOOL,DAMONGO,MIXED,DAY/BOARDING,damongoshs@ges.gov.gh,C,No,9.0833,-1.8167,11666.0,0.2,0.5,0.8649723877343409,0.6459889550937363,HIGH
