school_name,region,district,latitude,longitude,anomaly_reason,expected_lat_range,expected_lon_range,sn,location,gender,residency,email,category,is_stem,youth_literacy_count,mpi_score,pov_norm,lit_norm,priority_score,priority_tier
BOLGATANGA SENIOR HIGH SCHOOL,UPPER EAST,TALENSI,10.6593164,-1.268658,"LON -1.268658 outside [-1.2500, 0.9000]",10.4 - 11.2,-1.1 - 0.75,557,BOLGATANGA,MIXED,DAY/BOARDING,bolgatangashs@ges.gov.gh,C,No,15277.0,0.3,0.7499999999999999,0.7993750908298213,0.7697500363319285,HIGH
TONGOR SENIOR HIGH TECH SCHOOL,VOLTA,SOUTH DAYI,10.9014082,-0.9013563,"LAT 10.901408 outside [5.6500, 8.9000] | LON -0.901356 outside [-0.3000, 1.3500]",5.8 - 8.75,-0.15 - 1.2,661,KPEVE,MIXED,DAY/BOARDING,tongorshst@ges.gov.gh,C,No,15277.0,0.3,0.7499999999999999,0.7993750908298213,0.7697500363319285,HIGH
AZEEM-NAMOA SENIOR HIGH/TECH SCHOOL,UPPER EAST,BONGO,10.0272463,-0.9731496,"LAT 10.027246 outside [10.2500, 11.3500]",10.4 - 11.2,-1.1 - 0.75,533,SAMBOLIGO AMANGA NABIISI,MIXED,DAY,azeemnamoashst@ges.gov.gh,C,No,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
GOWRIE SENIOR HIGH/TECH SCHOOL,UPPER EAST,BONGO,6.6556435,-1.1071968,"LAT 6.655644 outside [10.2500, 11.3500]",10.4 - 11.2,-1.1 - 0.75,536,GOWRIE,MIXED,DAY/BOARDING,gowrieshst@ges.gov.gh,C,No,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
BONGO SENIOR HIGH SCHOOL,UPPER EAST,BONGO,5.9668857,-0.9929572,"LAT 5.966886 outside [10.2500, 11.3500]",10.4 - 11.2,-1.1 - 0.75,534,BONGO,MIXED,DAY/BOARDING,bongoshs@ges.gov.gh,C,No,20170.0,0.3,0.7499999999999999,0.7104890277575934,0.7341956111030372,HIGH
BANDAMAN SENIOR HIGH SCHOOL,BONO,BANDA,5.8771706,0.3662603,"LAT 5.877171 outside [6.8500, 8.6500] | LON 0.366260 outside [-3.1500, -1.2500]",7.0 - 8.5,-3.0 - -1.4,151,BANDA AHENKRO,MIXED,DAY/BOARDING,bandamanshs@ges.gov.gh,C,No,4233.0,0.2,0.5,1.0,0.7,HIGH
DAFFIAMAH SENIOR HIGH SCHOOL,UPPER WEST,BUSSIE-ISSA,7.142572,-1.6406402,"LAT 7.142572 outside [9.3500, 11.1500]",9.5 - 11.0,-2.9 - -1.5,558,DAFFIAMAH,MIXED,DAY/BOARDING,daffiamahshs@ges.gov.gh,C,No,5165.0,0.2,0.5,0.9830693213195756,0.6932277285278303,HIGH
SAVELUGU SENIOR HIGH SCHOOL,NORTHERN,SAVELUGU-NANTON,5.9926294,0.8187733,"LAT 5.992629 outside [8.1500, 10.8500] | LON 0.818773 outside [-3.0500, 0.7500]",8.3 - 10.7,-2.9 - 0.6,470,SAVELUGU,MIXED,DAY/BOARDING,savelugushs@ges.gov.gh,C,No,5210.0,0.2,0.5,0.9822518529283536,0.6929007411713415,HIGH
ENYAN-ABAASA TECHNICAL INSTITUTE,CENTRAL,AJUMAKO/ENYAN /ESSIAM,9.4299903,-0.8669195,"LAT 9.429990 outside [4.7500, 6.3000]",4.9 - 6.15,-2.0 - -0.55,234,ENYAN-ABAASA,MIXED,DAY/BOARDING,enyanabaasatechinst@ges.gov.gh,C,No,5210.0,0.2,0.5,0.9822518529283536,0.6929007411713415,HIGH
YAGABA SENIOR HIGH SCHOOL,NORTH EAST,MAMPRUGU MOADURI,10.6593164,-1.268658,"LON -1.268658 outside [-0.7500, 0.8000]",9.8 - 11.0,-0.6 - 0.65,448,YAGABA,MIXED,DAY/BOARDING,yagabashs@ges.gov.gh,C,No,5861.0,0.2,0.5,0.9704258102020056,0.6881703240808023,HIGH
PIINA SENIOR HIGH SCHOOL,UPPER WEST,LAMBUSIE-KARNI,5.5950893,-0.277005,"LAT 5.595089 outside [9.3500, 11.1500] | LON -0.277005 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,563,PIINA,MIXED,DAY/BOARDING,piinashs@ges.gov.gh,C,No,7873.0,0.2,0.5,0.9338758901322484,0.6735503560528993,HIGH
HOLY FAMILY SENIOR HIGH SCHOOL,UPPER WEST,NANDOM,9.3815355,-0.8511432,"LON -0.851143 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,575,HAMILE,MIXED,DAY/BOARDING,holyfamilyshs@ges.gov.gh,C,No,7873.0,0.2,0.5,0.9338758901322484,0.6735503560528993,HIGH
LAMBUSSIE COMM SENIOR HIGH SCHOOL,UPPER WEST,LAMBUSIE-KARNI,9.3815355,-0.8511432,"LON -0.851143 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,564,LAMBUSSIE,MIXED,DAY,lambussiecommshs@ges.gov.gh,C,No,7873.0,0.2,0.5,0.9338758901322484,0.6735503560528993,HIGH
AKROFUOM SENIOR HIGH/TECH SCHOOL,ASHANTI,ADANSI SOUTH,10.9324723,-0.9735882,"LAT 10.932472 outside [5.7000, 7.7500]",5.85 - 7.6,-2.9 - -0.55,21,AKROFUOM,MIXED,DAY/BOARDING,akrofuomshst@ges.gov.gh,C,No,8440.0,0.2,0.5,0.9235757884028484,0.6694303153611394,HIGH
AMANKWAKROM FISHERIES AGRIC. TECH. INST.,EASTERN,KWAHU AFRAM PLAINS NORTH,,,MISSING COORDINATES,,,351,AMANKWAKROM,MIXED,DAY,amankwakromfisheriesagrictechinst@ges.gov.g,C,No,9021.0,0.2,0.5,0.9130213631739572,0.6652085452695828,HIGH
DONKORKROM AGRIC SENIOR HIGH SCHOOL,EASTERN,AFRAM PLAINS (KWAHU NORTH),10.9014082,-0.9013563,"LAT 10.901408 outside [5.5000, 7.2500]",5.65 - 7.1,-1.4 - 0.55,292,DONKORKROM,MIXED,DAY/BOARDING,donkorkromagricshs@ges.gov.gh,C,No,9021.0,0.2,0.5,0.9130213631739572,0.6652085452695828,HIGH
MEM-CHEMFRE COMM. SENIOR HIGH SCHOOL,EASTERN,AFRAM PLAINS (KWAHU NORTH),7.2316721,-2.1751937,"LON -2.175194 outside [-1.5500, 0.7000]",5.65 - 7.1,-1.4 - 0.55,293,MEM-CHEMFRE,MIXED,DAY,memchemfrecommshs@ges.gov.gh,C,No,9021.0,0.2,0.5,0.9130213631739572,0.6652085452695828,HIGH
CHEREPONI SENIOR HIGH/TECH SCHOOL,NORTH EAST,CHEREPONI,5.5950893,-0.277005,"LAT 5.595089 outside [9.6500, 11.1500]",9.8 - 11.0,-0.6 - 0.65,444,CHEREPONI,MIXED,DAY/BOARDING,chereponishst@ges.gov.gh,C,No,9078.0,0.2,0.5,0.9119859032117424,0.6647943612846969,HIGH
KAJAJI SENIOR HIGH SCHOOL,BONO EAST,SENE EAST,5.8771706,0.3662603,"LAT 5.877171 outside [7.1500, 8.9500] | LON 0.366260 outside [-1.9500, 0.0500]",7.3 - 8.8,-1.8 - -0.1,203,KAJAJI,MIXED,DAY/BOARDING,kajajishs@ges.gov.gh,C,No,9113.0,0.2,0.5,0.911350094463014,0.6645400377852057,HIGH
NAKPANDURI SENIOR HIGH SCHOOL,NORTH EAST,BUNKRUPGU-YUNGUO,5.5950893,-0.277005,"LAT 5.595089 outside [9.6500, 11.1500]",9.8 - 11.0,-0.6 - 0.65,442,NAKPANDURI,MIXED,DAY/BOARDING,nakpandurishs@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
SAKOGU SENIOR HIGH/TECH SCHOOL,NORTH EAST,EAST MAMPRUSI,10.0272463,-0.9731496,"LON -0.973150 outside [-0.7500, 0.8000]",9.8 - 11.0,-0.6 - 0.65,447,SAKOGU,MIXED,DAY,sakogushst@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
WULUGU SENIOR HIGH SCHOOL,NORTH EAST,WEST MAMPRUSI,10.6593164,-1.268658,"LON -1.268658 outside [-0.7500, 0.8000]",9.8 - 11.0,-0.6 - 0.65,449,WULUGU,MIXED,DAY/BOARDING,wulugushs@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
WALEWALETECH/ VOC INST.,NORTH EAST,WEST MAMPUSI,,,MISSING COORDINATES,,,452,WALEWALE,MIXED,DAY,walewaletechvocinst@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
GAMBAGA GIRLS SENIOR HIGH SCHOOL,NORTH EAST,EAST MAMPRUSI,7.190168,0.337969,"LAT 7.190168 outside [9.6500, 11.1500]",9.8 - 11.0,-0.6 - 0.65,445,GAMBAGA,FEMALE,DAY/BOARDING,gambagagirlsshs@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
LANGBINSI SENIOR HIGH TECHNICAL SCHOOL,NORTH EAST REGION,EAST MAMPRUSI MUNICIPAL,5.3379361,-1.9707293,UNKNOWN REGION: 'NORTH EAST REGION',,,453,LANGBINSI,MIXED,DAY,langbinsishst@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
JANGA SENIOR HIGH/TECH SCHOOL,NORTH EAST,WEST MAMPRUSI MUNICIPAL,10.0272463,-0.9731496,"LON -0.973150 outside [-0.7500, 0.8000]",9.8 - 11.0,-0.6 - 0.65,451,MUNICIPAL ASSEMBLY,MALE,DAY/BOARDING,jangashts@ges.gov.gh,C,No,13444.8,0.22,0.5499999999999999,0.8326587705275397,0.6630635082110159,HIGH
TUMU SENIOR HIGH/TECH SCHOOL,UPPER WEST,SISALA EAST,6.6556435,-1.1071968,"LAT 6.655644 outside [9.3500, 11.1500] | LON -1.107197 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,578,TUMU,MIXED,DAY/BOARDING,tumushst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
KO SENIOR HIGH SCHOOL,UPPER WEST,NANDOM,5.9668857,-0.9929572,"LAT 5.966886 outside [9.3500, 11.1500] | LON -0.992957 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,577,KO-NANDOM,MIXED,DAY/BOARDING,koshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
NANDOM SENIOR HIGH SCHOOL,UPPER WEST,NANDOM,5.8771706,0.3662603,"LAT 5.877171 outside [9.3500, 11.1500] | LON 0.366260 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,574,NANDOM,MALE,DAY/BOARDING,nandomshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
NORTHERN STAR SENIOR HIGH SCHOOL,UPPER WEST,WA MUNICIPAL,6.6903393,-1.5480316,"LAT 6.690339 outside [9.3500, 11.1500]",9.5 - 11.0,-2.9 - -1.5,584,"MANGU, WA",MIXED,DAY,northernstarshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
BIAKOYE COMM. DAY SCHOOL,OTI,BIAKOYE,,,MISSING COORDINATES,,,489,KWAMEKROM,MIXED,DAY,biakoyecommdayshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
FR. DOGLI MEMORIAL VOC.TECH. INST.,OTI,JASIKAN,,,MISSING COORDINATES,,,493,NEW AYOMA,MIXED,DAY/BOARDING,frdoglimemorialtechvocinst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
OYOKO METHODIST SENIOR HIGH SCHOOL,EASTERN,NEW JUABEN MUNICIPAL,4.9046484,-1.7908342,"LAT 4.904648 outside [5.5000, 7.2500] | LON -1.790834 outside [-1.5500, 0.7000]",5.65 - 7.1,-1.4 - 0.55,372,OYOKO,MIXED,DAY/BOARDING,oyokomethodistshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
"T. I. AHMADIYYA GIRL'S SENIOR HIGH SCHOOL, ASOKORE",ASHANTI,SEKYERE EAST,,,MISSING COORDINATES,,,138,ASOKORE,FEMALE,DAY/BOARDING,t.i.ahmadiyyagirlsshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
"T. I. AHMADIYYA SENIOR HIGH SCHOOL, WA",UPPER WEST,WA MUNICIPAL,9.4064815,-0.8770518,"LON -0.877052 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,583,WA,MIXED,DAY/BOARDING,tiahmadiyyawashs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
JAMIAT AL-HIDAYA ISLAMIC GIRLS SENIOR HIGH SCHOOL,UPPER WEST,WA MUNICIPAL,9.3743188,-0.8407925,"LON -0.840793 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,585,WA,FEMALE,DAY/BOARDING,jamiatalhidayaislamicgirlsshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
WA SENIOR HIGH SCHOOL,UPPER WEST,WA MUNICIPAL,10.6593164,-1.268658,"LON -1.268658 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,587,WA,MIXED,DAY/BOARDING,washs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
WA SENIOR HIGH/TECH SCHOOL,UPPER WEST,WA MUNICIPAL,10.6593164,-1.268658,"LON -1.268658 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,586,WA,MIXED,DAY/BOARDING,washst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
"ST. AUGUSTINE SENIOR HIGH/TECH SCHOOL, SAAN CHARIKPONG",UPPER WEST,NADOWLI,,,MISSING COORDINATES,,,569,"SAAN, CHARIKPONG",MIXED,DAY/BOARDING,st.augustinecharikpongshst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
KALEO SENIOR HIGH/TECH SCHOOL,UPPER WEST,NADOWLI,9.4226781,-0.8620235,"LON -0.862024 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,571,KALEO,MIXED,DAY/BOARDING,kaleoshst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
"QUEEN OF PEACE SENIOR HIGH SCHOOL, NADOWLI",UPPER WEST,NADOWLI,,,MISSING COORDINATES,,,568,NADOWLI,MIXED,DAY/BOARDING,queenofpeaceshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
"ISLAMIC SENIOR HIGH SCHOOL, WA",UPPER WEST,WA MUNICIPAL,9.3815355,-0.8511432,"LON -0.851143 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,589,WA,MIXED,DAY/BOARDING,islamicwashs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
ATWIMA KWANWOMA SENIOR HIGH/TECH SCHOOL,ASHANTI,ATWIMA KWANWOMA,10.9324723,-0.9735882,"LAT 10.932472 outside [5.7000, 7.7500]",5.85 - 7.6,-2.9 - -0.55,53,TREDE,MIXED,DAY/BOARDING,atwimakwanwomashst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
KWANWOMA SENIOR HIGH SCHOOL,ASHANTI,ATWIMA KWANWOMA,10.6593164,-1.268658,"LAT 10.659316 outside [5.7000, 7.7500]",5.85 - 7.6,-2.9 - -0.55,54,ADUM KWANWOMA,MIXED,DAY,kwanwomashst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
ST.JOHN'S VOC. TECH. INSTITUTE,UPPER WEST,NANDOM,,,MISSING COORDINATES,,,576,NANDOM,MIXED,DAY/BOARDING,stjohnstechvocinst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
TAKPO SENIOR HIGH SCHOOL,UPPER WEST,NADOWLI,5.4234565,-0.9611574,"LAT 5.423457 outside [9.3500, 11.1500] | LON -0.961157 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,570,TAKPO,MIXED,DAY,takposhst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
SOMBO SENIOR HIGH SCHOOL,UPPER WEST,NADOWLI/KALEO,5.9668857,-0.9929572,"LAT 5.966886 outside [9.3500, 11.1500] | LON -0.992957 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,573,SOMBO,FEMALE,DAY,somboshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
ST. BASILIDES VOC./TECH. INST.,UPPER WEST,NADOWLI KALEO,,,MISSING COORDINATES,,,572,KALEO,MIXED,DAY/BOARDING,stbasilidestechvocinst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
DR. HILA LIMAN SENIOR HIGH SCHOOL,UPPER WEST,SISALA WEST,5.7065864,-0.1702485,"LAT 5.706586 outside [9.3500, 11.1500] | LON -0.170248 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,580,GWOLLU,MIXED,DAY/BOARDING,drhilalimanshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
WALEWALE SENIOR HIGH SCHOOL,NORTH EAST,WEST MAMPRUSI,9.4226781,-0.8620235,"LAT 9.422678 outside [9.6500, 11.1500] | LON -0.862024 outside [-0.7500, 0.8000]",9.8 - 11.0,-0.6 - 0.65,450,WWAESLETW MEALMEPRUSI,MIXED,DAY/BOARDING,walewaleshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
SANKOR COMM. DAY SENIOR HIGH SCHOOL,WESTERN,AHANTA WEST,7.993766,-0.326021,"LAT 7.993766 outside [4.4000, 6.5500] | LON -0.326021 outside [-3.4000, -1.3500]",4.55 - 6.4,-3.25 - -1.5,671,SANKOR,MIXED,DAY,sankorcommshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
AMEYAW AKUMFI SENIOR HIGH/TECH SCHOOL,BONO EAST,TECHIMAN NORTH,10.0272463,-0.9731496,"LAT 10.027246 outside [7.1500, 8.9500]",7.3 - 8.8,-1.8 - -0.1,214,AWOROWA,MIXED,DAY/BOARDING,ameyawakumfishst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
PRESTEA SENIOR HIGH/TECH SCHOOL,WESTERN,PRESTEA HUNI VALLEY,6.6556435,-1.1071968,"LAT 6.655644 outside [4.4000, 6.5500] | LON -1.107197 outside [-3.4000, -1.3500]",4.55 - 6.4,-3.25 - -1.5,686,PRESTEA,MIXED,DAY/BOARDING,presteashst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
SOGAKOPE SENIOR HIGH SCHOOL,VOLTA,SOUTH TONGU,5.9668857,-0.9929572,"LON -0.992957 outside [-0.3000, 1.3500]",5.8 - 8.75,-0.15 - 1.2,666,SOGAKOPE,MIXED,DAY/BOARDING,sogakopeshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
SEFWI BEKWAI SENIOR HIGH SCHOOL,WESTERN NORTH,BIBIANI/ANHWIASO/ BEKWAI,10.6593164,-1.268658,"LAT 10.659316 outside [5.3500, 7.2000] | LON -1.268658 outside [-3.2500, -1.8500]",5.5 - 7.05,-3.1 - -2.0,711,SEFWI BEKWAI,MIXED,DAY/BOARDING,sefwibekwaishs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
BRAKWA SENIOR HIGH/TECH SCHOOL,CENTRAL,ASIKUMA/ODOBEN/ BRAKWA,10.0272463,-0.9731496,"LAT 10.027246 outside [4.7500, 6.3000]",4.9 - 6.15,-2.0 - -0.55,235,BRAKWA,MIXED,DAY/BOARDING,brakwashst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
"ST. MARTIN'S SENIOR HIGH SCHOOL, NSAWAM",EASTERN,NSAWAM ADOAGYIRI,7.3449525,-2.3439664,"LAT 7.344952 outside [5.5000, 7.2500] | LON -2.343966 outside [-1.5500, 0.7000]",5.65 - 7.1,-1.4 - 0.55,379,NSAWAM,MIXED,DAY/BOARDING,stmartinsshs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
AKONTOMBRA SENIOR HIGH SCHOOL,WESTERN NORTH,SEFWI AKONTOMBRA,5.9926294,0.8187733,"LON 0.818773 outside [-3.2500, -1.8500]",5.5 - 7.05,-3.1 - -2.0,715,AKONTOMBRA,MIXED,DAY/BOARDING,akontombrashs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
MOKWAA SENIOR HIGH SCHOOL,CENTRAL,TWIFU ATTI-MOKWAA,10.6593164,-1.268658,"LAT 10.659316 outside [4.7500, 6.3000]",4.9 - 6.15,-2.0 - -0.55,287,NAMOO,MIXED,DAY,mokwaashs@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
SACRED HEART TECH. INST.,GREATER ACCRA,ACCRA METRO,7.0019071,0.2598156,"LAT 7.001907 outside [5.2000, 6.1000]",5.35 - 5.95,-0.5 - 0.25,399,JAMES TOWN,MIXED,DAY,sacredhearttechinst@ges.gov.gh,C,No,10774.823529411764,0.2058823529411765,0.5147058823529412,0.8811614676389375,0.6612881164673398,HIGH
LAWRA SENIOR HIGH SCHOOL,UPPER WEST,LAWRA,5.8771706,0.3662603,"LAT 5.877171 outside [9.3500, 11.1500] | LON 0.366260 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,566,LAWRA,MIXED,DAY/BOARDING,lawrashs@ges.gov.gh,C,No,9769.0,0.2,0.5,0.8994332219154193,0.6597732887661678,HIGH
EREMON SENIOR HIGH/TECH SCHOOL,UPPER WEST,LAWRA,6.6556435,-1.1071968,"LAT 6.655644 outside [9.3500, 11.1500] | LON -1.107197 outside [-3.0500, -1.3500]",9.5 - 11.0,-2.9 - -1.5,565,EREMON,MIXED,DAY/BOARDING,eremonshst@ges.gov.gh,C,No,9769.0,0.2,0.5,0.8994332219154193,0.6597732887661678,HIGH
